Color Name,Hex Code,Serial,Name Code,R,G,B,H,S,V
white,#ffffff,1,24389253,255,255,255,0.00,0.00,100
black,#000000,2,2491499,0,0,0,0.00,0.00,0
dull red,#bb3f3f,3,160403769508,187,63,63,0.00,66.31,73.33333333
dried blood,#4b0101,4,5146991032417760,75,1,1,0.00,98.67,29.41176471
red,#e50000,5,18596,229,0,0,0.00,100.00,89.80392157
dark red,#840000,6,139129211044,132,0,0,0.00,100.00,51.76470588
deep red,#9a0200,7,142993213604,154,2,0,0.78,100.00,60.39215686
mahogany,#4a0100,8,448034735577,74,1,0,0.81,100.00,29.01960784
pastel red,#db5856,9,564723956271268,219,88,86,0.90,60.73,85.88235294
reddish,#c44240,10,19499460200,196,66,64,0.91,67.35,76.8627451
grapefruit,#fd5956,11,266133528204596,253,89,86,1.08,66.01,99.21568627
deep brown,#410200,12,146425034391278,65,2,0,1.85,100.00,25.49019608
dark coral,#cf524e,13,142468296722476,207,82,78,1.86,62.32,81.17647059
pale red,#d9544d,14,551238453412,217,84,77,3.00,64.52,85.09803922
coral,#fc5a50,15,3655724,252,90,80,3.49,68.25,98.82352941
dark salmon,#c85a53,16,4558986017125870,200,90,83,3.59,58.50,78.43137255
brownish pink,#c27e79,17,2972074817817680000,194,126,121,4.11,37.63,76.07843137
very dark brown,#1d0200,18,26179170322994000000000,29,2,0,4.14,100.00,11.37254902
indian red,#850e04,19,332199663454372,133,14,4,4.65,96.99,52.15686275
salmon,#ff796c,20,638989806,255,121,108,5.31,57.65,100
pinkish grey,#c8aca9,21,587098857241037000,200,172,169,5.81,15.50,78.43137255
reddy brown,#6e1005,22,20446683521957600,110,16,5,6.29,95.45,43.1372549
reddish grey,#997570,23,654293311349312000,153,117,112,7.32,26.80,60
brick red,#8f1402,24,2827275421860,143,20,2,7.66,98.60,56.07843137
tomato,#ef4026,25,687244943,239,64,38,7.76,84.10,93.7254902
peachy pink,#ff9a8a,26,18191532421555700,255,154,138,8.21,45.88,100
orangey red,#fa4224,27,17523405559384200,250,66,36,8.41,85.60,98.03921569
brick,#a03623,28,2696299,160,54,35,9.12,78.13,62.74509804
very light pink,#fff4f2,29,26179170612883600000000,255,244,242,9.23,5.10,100
brownish red,#9e3623,30,92877338056804500,158,54,35,9.27,77.85,61.96078431
orange red,#fd411e,31,547606423881892,253,65,30,9.42,88.14,99.21568627
blush,#f29e8e,32,2512488,242,158,142,9.60,41.32,94.90196078
vermillion,#f4320c,33,780186493003246,244,50,12,9.83,95.08,95.68627451
orange pink,#ff6f52,34,17523405564159400,255,111,82,10.06,67.84,100
tomato red,#ec2d01,35,720628554352804,236,45,1,11.23,99.58,92.54901961
burnt red,#9f2305,36,2940396849316,159,35,5,11.69,96.86,62.35294118
reddish orange,#f8481c,37,669996350821963000000,248,72,28,12.00,88.71,97.25490196
orangish red,#f43605,38,560748981971274000,244,54,5,12.30,97.95,95.68627451
red brown,#8b2e16,39,19968312295150,139,46,22,12.31,84.17,54.50980392
light salmon,#fea993,40,442734470132807000,254,169,147,12.34,42.13,99.60784314
melon,#ff7855,41,13808110,255,120,85,12.35,66.67,100
rusty red,#af2f0d,42,20533863205028,175,47,13,12.59,92.57,68.62745098
rust red,#aa2704,43,641683376292,170,39,4,12.65,97.65,66.66666667
pinkish orange,#ff724c,44,601189229815090000000,255,114,76,12.74,70.20,100
pinkish brown,#b17261,45,18787163431708000000,177,114,97,12.75,45.20,69.41176471
orangered,#fe420f,46,17112700733604,254,66,15,12.80,94.09,99.60784314
